  Date      JD       AppGST       EOT         AppRA         AppDec         Dist       AngDiam  HelLong  HelLat  PAAxis
  Jan 01    7754.5   06:43:21.3   -03:26.3    18 46 47.19   -22 59 56.4    0.983338   1951.8   123.6   -3.0    2.0
  Jan 02    7755.5   06:47:17.9   -03:54.5    18 51 11.98   -22 54 46.9    0.983325   1951.8   110.4   -3.1    1.5
  Jan 03    7756.5   06:51:14.4   -04:22.4    18 55 36.41   -22 49 10.0    0.983315   1951.8    97.2   -3.3    1.0
  Jan 04    7757.5   06:55:11.0   -04:49.9    19 00 00.45   -22 43 06.0    0.983310   1951.8    84.1   -3.4    0.5
  Jan 05    7758.5   06:59:07.5   -05:16.9    19 04 24.05   -22 36 34.8    0.983310   1951.8    70.9   -3.5    0.0
  Jan 06    7759.5   07:03:04.1   -05:43.5    19 08 47.20   -22 29 36.9    0.983314   1951.8    57.7   -3.6   -0.5
  Jan 07    7760.5   07:07:00.6   -06:09.6    19 13 09.86   -22 22 12.3    0.983324   1951.8    44.6   -3.7   -0.9
  Jan 08    7761.5   07:10:57.2   -06:35.2    19 17 32.02   -22 14 21.2    0.983339   1951.8    31.4   -3.8   -1.4
  Jan 09    7762.5   07:14:53.7   -07:00.3    19 21 53.64   -22 06 04.0    0.983360   1951.7    18.2   -3.9   -1.9
  Jan 10    7763.5   07:18:50.3   -07:24.8    19 26 14.71   -21 57 20.9    0.983387   1951.7     5.0   -4.0   -2.4
  Jan 11    7764.5   07:22:46.8   -07:48.7    19 30 35.20   -21 48 12.0    0.983420   1951.6   351.9   -4.1   -2.9
  Jan 12    7765.5   07:26:43.4   -08:12.1    19 34 55.10   -21 38 37.8    0.983460   1951.5   338.7   -4.3   -3.3
  Jan 13    7766.5   07:30:40.0   -08:34.8    19 39 14.38   -21 28 38.4    0.983506   1951.4   325.5   -4.4   -3.8
  Jan 14    7767.5   07:34:36.5   -08:56.9    19 43 33.04   -21 18 14.1    0.983559   1951.3   312.4   -4.5   -4.3
  Jan 15    7768.5   07:38:33.1   -09:18.3    19 47 51.04   -21 07 25.2    0.983619   1951.2   299.2   -4.6   -4.7
  Jan 16    7769.5   07:42:29.6   -09:39.1    19 52 08.38   -20 56 12.1    0.983684   1951.1   286.0   -4.7   -5.2
  Jan 17    7770.5   07:46:26.2   -09:59.2    19 56 25.06   -20 44 34.9    0.983756   1951.0   272.9   -4.8   -5.7
  Jan 18    7771.5   07:50:22.7   -10:18.7    20 00 41.04   -20 32 34.1    0.983833   1950.8   259.7   -4.9   -6.1
  Jan 19    7772.5   07:54:19.3   -10:37.4    20 04 56.33   -20 20 09.8    0.983915   1950.6   246.5   -4.9   -6.6
  Jan 20    7773.5   07:58:15.8   -10:55.4    20 09 10.90   -20 07 22.6    0.984003   1950.5   233.4   -5.0   -7.0
  Jan 21    7774.5   08:02:12.4   -11:12.7    20 13 24.74   -19 54 12.7    0.984096   1950.3   220.2   -5.1   -7.5
  Jan 22    7775.5   08:06:09.0   -11:29.3    20 17 37.85   -19 40 40.4    0.984193   1950.1   207.0   -5.2   -7.9
  Jan 23    7776.5   08:10:05.5   -11:45.1    20 21 50.20   -19 26 46.2    0.984294   1949.9   193.9   -5.3   -8.4
  Jan 24    7777.5   08:14:02.1   -12:00.1    20 26 01.80   -19 12 30.4    0.984400   1949.7   180.7   -5.4   -8.8
  Jan 25    7778.5   08:17:58.6   -12:14.4    20 30 12.62   -18 57 53.4    0.984509   1949.5   167.5   -5.5   -9.3
  Jan 26    7779.5   08:21:55.2   -12:27.8    20 34 22.66   -18 42 55.5    0.984623   1949.2   154.4   -5.6   -9.7
  Jan 27    7780.5   08:25:51.7   -12:40.5    20 38 31.90   -18 27 37.2    0.984739   1949.0   141.2   -5.6  -10.1
  Jan 28    7781.5   08:29:48.3   -12:52.4    20 42 40.34   -18 11 58.8    0.984859   1948.8   128.0   -5.7  -10.6
  Jan 29    7782.5   08:33:44.8   -13:03.5    20 46 47.97   -17 56 00.8    0.984983   1948.5   114.9   -5.8  -11.0
  Jan 30    7783.5   08:37:41.4   -13:13.7    20 50 54.78   -17 39 43.6    0.985109   1948.3   101.7   -5.9  -11.4
  Jan 31    7784.5   08:41:38.0   -13:23.1    20 55 00.75   -17 23 07.5    0.985239   1948.0    88.5   -6.0  -11.8
  Feb 01    7785.5   08:45:34.5   -13:31.7    20 59 05.90   -17 06 12.9    0.985372   1947.8    75.4   -6.0  -12.2
  Feb 02    7786.5   08:49:31.1   -13:39.5    21 03 10.21   -16 49 00.3    0.985509   1947.5    62.2   -6.1  -12.6
  Feb 03    7787.5   08:53:27.6   -13:46.4    21 07 13.70   -16 31 30.1    0.985649   1947.2    49.0   -6.2  -13.0
  Feb 04    7788.5   08:57:24.2   -13:52.5    21 11 16.35   -16 13 42.7    0.985793   1946.9    35.9   -6.2  -13.4
  Feb 05    7789.5   09:01:20.7   -13:57.8    21 15 18.16   -15 55 38.4    0.985942   1946.6    22.7   -6.3  -13.8
  Feb 06    7790.5   09:05:17.3   -14:02.2    21 19 19.16   -15 37 17.9    0.986095   1946.3     9.5   -6.4  -14.2
  Feb 07    7791.5   09:09:13.8   -14:05.9    21 23 19.34   -15 18 41.3    0.986253   1946.0   356.4   -6.4  -14.6
  Feb 08    7792.5   09:13:10.4   -14:08.7    21 27 18.69   -14 59 49.2    0.986415   1945.7   343.2   -6.5  -15.0
  Feb 09    7793.5   09:17:07.0   -14:10.7    21 31 17.25   -14 40 42.0    0.986584   1945.4   330.0   -6.5  -15.3
  Feb 10    7794.5   09:21:03.5   -14:11.9    21 35 15.01   -14 21 20.1    0.986757   1945.0   316.9   -6.6  -15.7
  Feb 11    7795.5   09:25:00.1   -14:12.3    21 39 11.99   -14 01 43.9    0.986936   1944.7   303.7   -6.6  -16.1
  Feb 12    7796.5   09:28:56.6   -14:11.9    21 43 08.21   -13 41 53.7    0.987120   1944.3   290.5   -6.7  -16.4
  Feb 13    7797.5   09:32:53.2   -14:10.9    21 47 03.66   -13 21 50.0    0.987310   1943.9   277.4   -6.7  -16.8
  Feb 14    7798.5   09:36:49.7   -14:09.0    21 50 58.39   -13 01 33.2    0.987505   1943.5   264.2   -6.8  -17.1
  Feb 15    7799.5   09:40:46.3   -14:06.5    21 54 52.38   -12 41 03.7    0.987704   1943.2   251.0   -6.8  -17.4
  Feb 16    7800.5   09:44:42.8   -14:03.2    21 58 45.66   -12 20 21.8    0.987908   1942.8   237.9   -6.9  -17.8
  Feb 17    7801.5   09:48:39.4   -13:59.2    22 02 38.26   -11 59 28.0    0.988116   1942.3   224.7   -6.9  -18.1
  Feb 18    7802.5   09:52:36.0   -13:54.6    22 06 30.17   -11 38 22.8    0.988328   1941.9   211.5   -7.0  -18.4
  Feb 19    7803.5   09:56:32.5   -13:49.3    22 10 21.41   -11 17 06.4    0.988544   1941.5   198.4   -7.0  -18.7
  Feb 20    7804.5   10:00:29.1   -13:43.3    22 14 12.01   -10 55 39.3    0.988764   1941.1   185.2   -7.0  -19.0
  Feb 21    7805.5   10:04:25.6   -13:36.7    22 18 01.96   -10 34 01.9    0.988986   1940.6   172.0   -7.0  -19.3
  Feb 22    7806.5   10:08:22.2   -13:29.5    22 21 51.29   -10 12 14.7    0.989211   1940.2   158.9   -7.1  -19.6
  Feb 23    7807.5   10:12:18.7   -13:21.7    22 25 40.01   -09 50 18.1    0.989439   1939.8   145.7   -7.1  -19.9
  Feb 24    7808.5   10:16:15.3   -13:13.2    22 29 28.13   -09 28 12.4    0.989668   1939.3   132.5   -7.1  -20.2
  Feb 25    7809.5   10:20:11.8   -13:04.2    22 33 15.66   -09 05 58.1    0.989900   1938.8   119.3   -7.2  -20.5
  Feb 26    7810.5   10:24:08.4   -12:54.6    22 37 02.62   -08 43 35.7    0.990134   1938.4   106.2   -7.2  -20.8
  Feb 27    7811.5   10:28:05.0   -12:44.5    22 40 49.02   -08 21 05.4    0.990369   1937.9    93.0   -7.2  -21.0
  Feb 28    7812.5   10:32:01.5   -12:33.8    22 44 34.86   -07 58 27.8    0.990605   1937.5    79.8   -7.2  -21.3
  Mar 01    7813.5   10:35:58.1   -12:22.5    22 48 20.18   -07 35 43.3    0.990843   1937.0    66.7   -7.2  -21.5
  Mar 02    7814.5   10:39:54.6   -12:10.8    22 52 04.98   -07 12 52.2    0.991082   1936.5    53.5   -7.2  -21.8
  Mar 03    7815.5   10:43:51.2   -11:58.5    22 55 49.28   -06 49 54.9    0.991323   1936.1    40.3   -7.2  -22.0
  Mar 04    7816.5   10:47:47.7   -11:45.8    22 59 33.08   -06 26 52.0    0.991565   1935.6    27.1   -7.2  -22.3
  Mar 05    7817.5   10:51:44.3   -11:32.6    23 03 16.43   -06 03 43.7    0.991810   1935.1    14.0   -7.2  -22.5
  Mar 06    7818.5   10:55:40.8   -11:18.9    23 06 59.32   -05 40 30.5    0.992056   1934.6     0.8   -7.2  -22.7
  Mar 07    7819.5   10:59:37.4   -11:04.8    23 10 41.77   -05 17 12.9    0.992305   1934.1   347.6   -7.2  -22.9
  Mar 08    7820.5   11:03:33.9   -10:50.3    23 14 23.82   -04 53 51.0    0.992557   1933.7   334.4   -7.2  -23.1
  Mar 09    7821.5   11:07:30.5   -10:35.4    23 18 05.47   -04 30 25.5    0.992812   1933.2   321.3   -7.2  -23.4
  Mar 10    7822.5   11:11:27.1   -10:20.1    23 21 46.75   -04 06 56.6    0.993070   1932.7   308.1   -7.2  -23.5
  Mar 11    7823.5   11:15:23.6   -10:04.5    23 25 27.68   -03 43 24.6    0.993331   1932.1   294.9   -7.2  -23.7
  Mar 12    7824.5   11:19:20.2   -09:48.6    23 29 08.30   -03 19 50.1    0.993596   1931.6   281.7   -7.2  -23.9
  Mar 13    7825.5   11:23:16.7   -09:32.3    23 32 48.61   -02 56 13.2    0.993863   1931.1   268.5   -7.2  -24.1
  Mar 14    7826.5   11:27:13.3   -09:15.8    23 36 28.64   -02 32 34.4    0.994134   1930.6   255.4   -7.2  -24.3
  Mar 15    7827.5   11:31:09.8   -08:59.1    23 40 08.43   -02 08 54.1    0.994408   1930.1   242.2   -7.2  -24.4
  Mar 16    7828.5   11:35:06.4   -08:42.1    23 43 48.00   -01 45 12.5    0.994684   1929.5   229.0   -7.1  -24.6
  Mar 17    7829.5   11:39:02.9   -08:24.9    23 47 27.36   -01 21 30.0    0.994963   1929.0   215.8   -7.1  -24.7
  Mar 18    7830.5   11:42:59.5   -08:07.5    23 51 06.55   -00 57 47.0    0.995244   1928.4   202.6   -7.1  -24.9
  Mar 19    7831.5   11:46:56.1   -07:50.0    23 54 45.58   -00 34 03.8    0.995527   1927.9   189.5   -7.1  -25.0
  Mar 20    7832.5   11:50:52.6   -07:32.3    23 58 24.47   -00 10 20.9    0.995812   1927.3   176.3   -7.0  -25.1
  Mar 21    7833.5   11:54:49.2   -07:14.6    00 02 03.25   +00 13 21.6    0.996098   1926.8   163.1   -7.0  -25.3
