# Atmosphere file for GeoCARB SIF algorithm
# pressure level [Pa], gas vmr in [1]
# the first non-empty line has to list the contents of the file

p T O2 H2O
1.000E+01 2.166E+02 2.095E-01 1.0E-5
1.000E+02 2.166E+02 2.095E-01 1.0E-5
1.000E+03 2.166E+02 2.095E-01 1.0E-5
5.000E+03 2.166E+02 2.095E-01 1.0E-5
8.000E+03 2.166E+02 2.095E-01 1.0E-5
1.000E+04 2.166E+02 2.095E-01 1.0E-5
1.200E+04 2.166E+02 2.095E-01 1.0E-5
1.417E+04 2.166E+02 2.095E-01 1.0E-5
1.658E+04 2.166E+02 2.095E-01 1.0E-5
1.940E+04 2.166E+02 2.095E-01 1.0E-5
2.270E+04 2.168E+02 2.095E-01 1.0E-5
2.650E+04 2.233E+02 2.095E-01 1.0E-5
3.080E+04 2.297E+02 2.095E-01 1.0E-5
3.565E+04 2.362E+02 2.095E-01 1.0E-5
4.110E+04 2.427E+02 2.095E-01 1.0E-5
5.000E+04 2.817E+02 2.095E-01 1.0E-5
1.150E+05 2.881E+02 2.095E-01 1.0E-5
1.300e+05 2.890E+02 2.095E-01 1.0E-5
