p T H2O CO2
2.537999999999999892e-03 3.600000000000000000e+02 4.877000000000000062e-06 3.499999999999999693e-05
4.009999999999999676e-03 3.000000000000000000e+02 4.877000000000000062e-06 4.000000000000000327e-05
7.104000000000000072e-03 2.400000000000000000e+02 4.877000000000000062e-06 6.000000000000000152e-05
1.447999999999999982e-02 2.088000000000000114e+02 4.877000000000000062e-06 1.100000000000000039e-04
3.200999999999999679e-02 1.950999999999999943e+02 4.877000000000000062e-06 1.949999999999999965e-04
7.596999999999999587e-02 1.884000000000000057e+02 4.877000000000000062e-06 2.700000000000000035e-04
1.835999999999999854e-01 1.869000000000000057e+02 4.877000000000000062e-06 3.099999999999999999e-04
4.456999999999999851e-01 1.889000000000000057e+02 4.877000000000000062e-06 3.200000000000000262e-04
1.052000000000000046e+00 1.985999999999999943e+02 4.877000000000000062e-06 3.280000000000000038e-04
2.387999999999999901e+00 2.084000000000000057e+02 4.877000000000000062e-06 3.699999999999999947e-04
5.221000000000000085e+00 2.195999999999999943e+02 4.919367845938522672e-06 3.699999999999999947e-04
1.092999999999999972e+01 2.333000000000000114e+02 5.899584007897335191e-06 3.699999999999999947e-04
2.195999999999999730e+01 2.470000000000000000e+02 6.377783704696093709e-06 3.699999999999999947e-04
4.252000000000000313e+01 2.608000000000000114e+02 6.852871591189536361e-06 3.699999999999999947e-04
7.978000000000000114e+01 2.706000000000000227e+02 7.325984966644301250e-06 3.699999999999999947e-04
1.088999999999999915e+02 2.706000000000000227e+02 7.479262947356013945e-06 3.699999999999999947e-04
1.491000000000000227e+02 2.641999999999999886e+02 7.401721530550603357e-06 3.699999999999999947e-04
2.060000000000000000e+02 2.573000000000000114e+02 7.300442777724172590e-06 3.699999999999999947e-04
2.871000000000000227e+02 2.504000000000000057e+02 7.052449718452296701e-06 3.699999999999999947e-04
4.041000000000000227e+02 2.434000000000000057e+02 6.796417456699272771e-06 3.699999999999999947e-04
5.746000000000000227e+02 2.365000000000000000e+02 6.573878822421681280e-06 3.699999999999999947e-04
8.257999999999999545e+02 2.295999999999999943e+02 6.410070848913194655e-06 3.699999999999999947e-04
1.197000000000000000e+03 2.265000000000000000e+02 6.139972968431664787e-06 3.750000000000000078e-04
1.743000000000000000e+03 2.240000000000000000e+02 5.761124876604146058e-06 3.750000000000000078e-04
2.549000000000000000e+03 2.215999999999999943e+02 5.350549780735059857e-06 3.750000000000000078e-04
2.972000000000000000e+03 2.205999999999999943e+02 5.180296391804501216e-06 3.750000000000000078e-04
3.467000000000000000e+03 2.195999999999999943e+02 5.002495972325346375e-06 3.750000000000000078e-04
4.047000000000000000e+03 2.185999999999999943e+02 4.825178405221911088e-06 3.750000000000000078e-04
4.729000000000000000e+03 2.175999999999999943e+02 4.647877424365600866e-06 3.750000000000000078e-04
5.529000000000000000e+03 2.165999999999999943e+02 4.467864649265432189e-06 3.750000000000000078e-04
6.467000000000000000e+03 2.165999999999999943e+02 4.288002590423362884e-06 3.750000000000000078e-04
7.565000000000000909e+03 2.165999999999999943e+02 4.110092909618823898e-06 3.750000000000000078e-04
8.850000000000000000e+03 2.165999999999999943e+02 3.932002477990208822e-06 3.750000000000000078e-04
1.035000000000000000e+04 2.165999999999999943e+02 4.242922115941042945e-06 3.750000000000000078e-04
1.211000000000000000e+04 2.165999999999999943e+02 5.263348469891411150e-06 3.759999999999999779e-04
1.416999999999999818e+04 2.165999999999999943e+02 6.483205983013771303e-06 3.770000000000000022e-04
1.658000000000000000e+04 2.165999999999999943e+02 1.995698367263312129e-05 3.780000000000000265e-04
1.940000000000000000e+04 2.165999999999999943e+02 4.535001974333662238e-05 3.789999999999999966e-04
2.270000000000000000e+04 2.168000000000000114e+02 8.829460287933169462e-05 3.800000000000000209e-04
2.650000000000000000e+04 2.233000000000000114e+02 1.519610548727722238e-04 3.800000000000000209e-04
3.080000000000000000e+04 2.296999999999999886e+02 2.030120565373259823e-04 3.800000000000000209e-04
3.565000000000000000e+04 2.361999999999999886e+02 2.231823000580925411e-04 3.800000000000000209e-04
4.110000000000000000e+04 2.426999999999999886e+02 3.890685664143905516e-04 3.800000000000000209e-04
4.722000000000000000e+04 2.491999999999999886e+02 7.922338056022952026e-04 3.800000000000000209e-04
5.405000000000000000e+04 2.556999999999999886e+02 1.709175285392461677e-03 3.800000000000000209e-04
6.166000000000000000e+04 2.621999999999999886e+02 3.253700829273934673e-03 3.800000000000000209e-04
7.012000000000000000e+04 2.686999999999999886e+02 5.301976759585315564e-03 3.800000000000000209e-04
7.950000000000000000e+04 2.751999999999999886e+02 6.619219502963713184e-03 3.800000000000000209e-04
8.988000000000000000e+04 2.816999999999999886e+02 8.040567808671321079e-03 3.800000000000000209e-04
1.013000000000000000e+05 2.881000000000000227e+02 1.152000000000000073e-02 3.800000000000000209e-04
